top - 08:56:38 up 37 min,  1 user,  load average: 0.26, 0.26, 0.23
Tasks: 148 total,   2 running, 146 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.5 us,  0.0 sy,  0.0 ni, 62.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3947.0 total,   1195.4 free,   1073.6 used,   1678.0 buff/cache
MiB Swap:   4094.0 total,   4094.0 free,      0.0 used.   2636.9 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  866 root      20   0  168892   8636   7348 S   0.0   0.2   0:00.01 gdm-session-wor
  871 debian1   20   0   21384   9272   7652 S   0.0   0.2   0:00.02 systemd
  872 debian1   20   0   23472   2520      4 S   0.0   0.1   0:00.00 (sd-pam)
  884 debian1   20   0  240584   7328   6368 S   0.0   0.2   0:00.03 gnome-keyring-d
  888 debian1   20   0  162164   5516   5016 S   0.0   0.1   0:00.00 gdm-wayland-ses
  890 debian1   20   0    9876   5168   3788 S   0.0   0.1   0:00.20 dbus-daemon
  892 debian1   20   0  500248  14888  12336 S   0.0   0.4   0:00.05 gnome-session-b
  932 debian1   20   0  240120   7364   6448 S   0.0   0.2   0:00.01 gvfsd
  937 debian1   20   0  315908   8160   5460 S   0.0   0.2   0:00.00 gvfsd-fuse
  939 debian1   20   0  146736  60648  43620 S   0.0   1.5   0:04.22 Xwayland
  953 debian1   20   0  312608   6532   5824 S   0.0   0.2   0:00.00 at-spi-bus-laun
  958 debian1   20   0    8972   4268   3816 S   0.0   0.1   0:00.02 dbus-daemon
  960 debian1   20   0  174128   7384   6584 S   0.0   0.2   0:00.07 at-spi2-registr
  963 debian1    9 -11 1174140  25332  20112 S   0.0   0.6   0:00.07 pulseaudio
  971 debian1   20   0  517216  22020  18644 S   0.0   0.5   0:00.02 gnome-shell-cal
  975 debian1   20   0  484548  26420  22556 S   0.0   0.7   0:00.04 evolution-sourc
  982 debian1   20   0  637064  35788  29656 S   0.0   0.9   0:00.03 goa-daemon
  985 debian1   20   0  632708  12508  10548 S   0.0   0.3   0:00.02 gvfs-udisks2-vo
 1001 debian1   20   0  241344   8024   7168 S   0.0   0.2   0:00.00 goa-identity-se
 1005 debian1   20   0  240700   6708   5988 S   0.0   0.2   0:00.00 gvfs-gphoto2-vo
 1009 debian1   20   0  236388   5812   5260 S   0.0   0.1   0:00.00 gvfs-goa-volume
 1013 debian1   20   0  319064   7288   6416 S   0.0   0.2   0:00.00 gvfs-afc-volume
 1018 debian1   20   0  238220   5924   5300 S   0.0   0.1   0:00.00 gvfs-mtp-volume
 1022 debian1   20   0  515076  51000  39272 S   0.0   1.3   0:00.15 gsd-power
 1023 debian1   20   0  250536  10512   9164 S   0.0   0.3   0:00.00 gsd-print-notif
 1025 debian1   20   0  385188   6032   5388 S   0.0   0.1   0:00.00 gsd-rfkill
 1026 debian1   20   0  237580   5872   5324 S   0.0   0.1   0:00.00 gsd-screensaver
 1028 debian1   20   0  394772   9532   8244 S   0.0   0.2   0:00.00 gsd-sharing
 1033 debian1   20   0  389404   8132   7312 S   0.0   0.2   0:00.00 gsd-smartcard
 1037 debian1   20   0  438624  49808  38404 S   0.0   1.2   0:00.14 gsd-xsettings
 1043 debian1   20   0  367144  49996  38536 S   0.0   1.2   0:00.14 gsd-wacom
 1044 debian1   20   0  264392  11056   7936 S   0.0   0.3   0:00.00 gsd-sound
 1046 debian1   20   0  237992   6400   5808 S   0.0   0.2   0:00.00 gsd-a11y-settin
 1051 debian1   20   0  290316  49168  38180 S   0.0   1.2   0:00.09 gsd-clipboard
 1053 debian1   20   0  315152  16076  14100 S   0.0   0.4   0:00.01 gsd-datetime
 1057 debian1   20   0  312420   7056   6316 S   0.0   0.2   0:00.03 gsd-housekeepin
 1058 debian1   20   0  660908  51164  39404 S   0.0   1.3   0:00.19 gsd-color
 1059 debian1   20   0 1002144  52672  40840 S   0.0   1.3   0:00.13 gsd-media-keys
 1064 debian1   20   0  237996   8312   5672 S   0.0   0.2   0:00.00 gsd-mouse
 1065 debian1   20   0  438084  49856  38704 S   0.0   1.2   0:00.10 gsd-keyboard
 1081 debian1   20   0  358004  15476  11648 S   0.0   0.4   0:00.01 gsd-printer
 1085 debian1   20   0  752460  31612  27300 S   0.0   0.8   0:00.06 evolution-calen
 1124 debian1   20   0  159340   5244   4564 S   0.0   0.1   0:00.01 dconf-service
 1125 debian1   20   0  682572  30604  25048 S   0.0   0.8   0:00.03 evolution-addre
 1149 debian1   39  19  509688  22252  12700 S   0.0   0.6   0:00.04 tracker-miner-a
 1151 debian1   20   0  777256 116120  35544 S   0.0   2.9   0:01.20 gnome-software
 1154 debian1   20   0  745112  64844  50764 S   0.0   1.6   0:00.17 evolution-alarm
 1156 debian1   20   0   25920    360      0 S   0.0   0.0   0:00.00 VBoxClient
 1157 debian1   20   0  235108   5548   4552 S   0.0   0.1   0:00.00 gsd-disk-utilit
 1159 debian1   20   0  160360   4128   3592 S   0.0   0.1   0:00.00 VBoxClient
